name,rating,reviews,industry,location,highly_rated,critically_rated
Delhivery,3.8,7.5k,Logistics,Gurgaon / Gurugram +740 other locations,,Promotions / Appraisal
JPMorgan Chase & Co.,3.8,7.4k,Financial Services,Bangalore / Bengaluru +54 other locations,"Job Security, Salary & Benefits",Promotions / Appraisal
JSW Steel,3.9,7.4k,Iron & Steel,Ballari +193 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Amazon Development Centre India,3.9,7.3k,Internet,Hyderabad / Secunderabad +146 other locations,"Company Culture, Work Life Balance",Promotions / Appraisal
Jana Small Finance Bank,3.8,7.3k,Banking,Bangalore / Bengaluru +412 other locations,Salary & Benefits,Promotions / Appraisal
Sun Pharmaceutical Industries,4.1,7.3k,Pharma,Vadodara +261 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",
Hexaware Technologies,3.4,7.3k,IT Services & Consulting,Chennai +68 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
L&T Construction,4.0,7.1k,Engineering & Construction,Chennai +424 other locations,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal"
Lupin,4.1,7.1k,Pharma,Pune +202 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Zydus Lifesciences,3.9,7.1k,Pharma,Ahmedabad +173 other locations,"Salary & Benefits, Skill Development / Learning",
Hindustan Unilever,4.2,7k,FMCG,Mumbai +524 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Equitas Small Finance Bank,4.2,6.9k,Banking,Chennai +445 other locations,"Job Security, Company Culture, Work Life Balance",
Ekart Logistics,3.9,6.9k,Logistics,Bangalore / Bengaluru +725 other locations,Skill Development / Learning,Promotions / Appraisal
KPMG India,3.4,6.9k,Management Consulting,Bangalore / Bengaluru +108 other locations,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
ITC,3.9,6.8k,FMCG,Bangalore / Bengaluru +370 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Ujjivan Small Finance Bank,4.0,6.8k,Banking,Bangalore / Bengaluru +523 other locations,"Company Culture, Work Life Balance, Job Security",
Axis Max Life Insurance,4.0,6.8k,Insurance,New Delhi +493 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",
Megha Engineering & Infrastructures,3.9,6.5k,Engineering & Construction,Hyderabad / Secunderabad +397 other locations,Work Life Balance,Promotions / Appraisal
Tata Projects,4.2,6.5k,Engineering & Construction,Mumbai +282 other locations,"Job Security, Salary & Benefits, Company Culture",
FIS,3.8,6.3k,FinTech,Pune +60 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Coforge,3.2,6.3k,IT Services & Consulting,Noida +105 other locations,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
L&T Technology Services,3.1,6.2k,IT Services & Consulting,Bangalore / Bengaluru +94 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Bajaj Life Insurance,3.9,6.2k,Insurance,Pune +601 other locations,Salary & Benefits,
IIFL Finance,4.0,6.2k,NBFC,Mumbai +798 other locations,"Work Life Balance, Company Culture, Job Security",
Oracle,3.5,6.1k,Software Product,Bangalore / Bengaluru +56 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Indian Army,4.7,6.1k,Defence & Aerospace,New Delhi +361 other locations,"Job Security, Company Culture, Work Life Balance",
Cholamandalam Investment & Finance,3.8,6.1k,Financial Services,Chennai +821 other locations,Salary & Benefits,Promotions / Appraisal
Omega Healthcare,3.8,6k,BPO,Chennai +68 other locations,,"Promotions / Appraisal, Salary & Benefits"
JLL,4.1,6k,Real Estate,Gurgaon / Gurugram +85 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Muthoot Finance,3.7,6k,NBFC,Bangalore / Bengaluru +769 other locations,,"Promotions / Appraisal, Work Satisfaction"
HCL Group,3.5,6k,IT Services & Consulting,Chennai +98 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
eClerx,3.1,5.9k,IT Services & Consulting,Pune +32 other locations,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Virtusa Consulting Services,3.7,5.8k,IT Services & Consulting,Hyderabad / Secunderabad +55 other locations,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Udaan,3.9,5.8k,Internet,Bangalore / Bengaluru +369 other locations,"Salary & Benefits, Work Life Balance, Skill Development / Learning","Job Security, Promotions / Appraisal"
DMart,3.9,5.8k,Retail,Mumbai +244 other locations,"Job Security, Company Culture",Promotions / Appraisal
HSBC Group,3.9,5.8k,Financial Services,Bangalore / Bengaluru +63 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Indiamart Intermesh,3.5,5.7k,Internet,Noida +170 other locations,,"Work Satisfaction, Promotions / Appraisal, Company Culture"
Aurobindo Pharma,4.0,5.6k,Pharma,Hyderabad / Secunderabad +116 other locations,"Job Security, Salary & Benefits, Work Life Balance",
SMFG India Credit,3.9,5.6k,NBFC,Mumbai +586 other locations,Salary & Benefits,Promotions / Appraisal
