Serial_No,Brand,Product_Name,Price,Original_Price,Discount,Product_Link,Image_URL
69,YOUSTA,Men Embroidered Baseball Cap,₹499,N/A,N/A,https://www.ajio.com/yousta-men-embroidered-baseball-cap/p/442952866_black?,
70,Columbia,Unisex Knitted Beanie with Logo Patch,"₹1,999",N/A,N/A,https://www.ajio.com/columbia-unisex-knitted-beanie-with-logo-patch/p/701991719_green?,
71,Jack & Jones,Men Colourblock Baseball Cap,"₹1,019","₹1,199",(15% off),https://www.ajio.com/jack--jones-men-colourblock-baseball-cap/p/700327725_beige?,
72,ADIDAS,Men Textured Beanie Cap,₹999,N/A,N/A,https://www.ajio.com/adidas-men-textured-beanie-cap/p/460621085_multicolour?,
73,MATCHITT,Men Geometric Print Winter Beanie,₹499,N/A,N/A,https://www.ajio.com/matchitt-men-geometric-print-winter-beanie/p/442974233_grey?,
74,PERFORMAX,Men Printed Baseball Cap,₹300,₹599,(50% off),https://www.ajio.com/performax-men-printed-baseball-cap/p/442125060_olive?,
75,PERFORMAX,Logo Embroidered Wristband,₹49,₹199,(75% off),https://www.ajio.com/performax-logo-embroidered-wristband/p/450153625_blue?,
76,GAP,Men Cashsoft Beanie,₹909,"₹1,299",(30% off),https://www.ajio.com/gap-men-cashsoft-beanie/p/442767794_navy?,
77,YOUSTA,Men Knitted Acrylic Beanie,₹199,N/A,N/A,https://www.ajio.com/yousta-men-knitted-acrylic-beanie/p/442971908_beige?,
78,SUPERDRY,Ribbed Beanie with Logo Patch,"₹1,170","₹2,599",(55% off),https://www.ajio.com/superdry-ribbed-beanie-with-logo-patch/p/410409072_sbs?,
79,Columbia,Men Baseball Cap,"₹2,499",N/A,N/A,https://www.ajio.com/columbia-men-baseball-cap/p/701482515_multi?,
80,Decathlon,FORCLAZ - Unisex Travel 500 Trucker Cap,₹649,₹999,(35% off),https://www.ajio.com/decathlon-forclaz--unisex-travel-500-trucker-cap/p/702229458_blue?,
81,YOUSTA,Men Embroidered Acrylic Beanie,₹199,N/A,N/A,https://www.ajio.com/yousta-men-embroidered-acrylic-beanie/p/442971910_black?,
82,GAP,Men Cashsoft Beanie,₹909,"₹1,299",(30% off),https://www.ajio.com/gap-men-cashsoft-beanie/p/442767794_grey?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251003/Ybqp/68dfba2e3d468c61ab442ea9/gap_grey_men_cashsoft_beanie.jpg
83,SUPERDRY,Mesh Cord Trucker Cap,"₹1,418","₹3,150",(55% off),https://www.ajio.com/superdry-mesh-cord-trucker-cap/p/410515774_9jo?,https://assets-jiocdn.ajio.com/medias/sys_master/root1/20251003/LkLB/68dfa7733d468c61ab423591/superdry_grey_mesh_cord_trucker_cap.jpg
