State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Graduate_Education,Households_with_Car_Jeep_Van,Households_with_Television,Households_with_Telephone_Mobile_Phone,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Tapwater_Households,sex_ratio,Literacy Rate,Female_Literacy_Gap
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,MAHARASHTRA,2585049,1349106,1235943,1718507,987185,731322,1255548,727819,527729,1154708,100840,1329501,2174672,320395,2097,824,68482,8719,82098,402052,5614,698571,129996,12836,205352,346380,136943,230929,916.0,66.4787011774245,14.002096411723276
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,MAHARASHTRA,2586258,1337560,1248698,1879874,1048892,830982,1219641,734024,485617,1107542,112099,1366617,1845424,354236,3531,1668,364229,12242,103898,423036,4767,728192,113783,10034,225282,293299,195038,299430,934.0,72.68702503771858,11.870437676874335
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,MAHARASHTRA,2204307,1123834,1080473,1578615,872565,706050,1058172,648565,409607,804433,253739,1146135,1780085,92297,10701,5251,286734,3861,172661,418666,8239,684655,126488,12746,229635,250418,229471,215128,961.0,71.61502458595831,12.295424045036341
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,MAHARASHTRA,2050862,1054031,996831,1293916,723388,570528,936370,570448,365922,825875,110495,1114492,1825460,187901,3653,1422,13405,12818,126138,315332,6065,528790,114931,10912,174524,210557,127610,343030,946.0,63.09132452597981,11.396443922644417
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,MAHARASHTRA,1322507,661554,660953,1004243,542837,461406,665419,383151,282268,433962,231457,657088,1153861,26157,1827,2160,125282,1568,38044,239981,2866,386515,57923,5074,104997,123673,151792,50702,999.0,75.93479656440381,12.245628733183377
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,MAHARASHTRA,1177345,606294,571051,790743,450551,340192,569182,330903,238279,514371,54811,608163,863199,127552,992,643,176679,5278,27700,159114,1221,284369,38698,3833,73640,134812,73460,81482,942.0,67.16323592489883,14.739334499103208
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,MAHARASHTRA,4229917,2197365,2032552,2891882,1629223,1262659,1863571,1186472,677099,1643955,219616,2366346,3457615,560261,7091,3091,143865,27404,350029,720791,14297,1169788,229987,19560,431221,459652,316969,790910,925.0,68.36734621506758,12.02254098089297
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,MAHARASHTRA,1959046,1011473,947573,1195523,699428,496095,930886,545030,385856,844492,86394,1028160,1504641,274221,12542,1629,152540,9619,60219,288895,3791,502830,64060,8400,158182,255420,141841,160526,937.0,61.02577479038267,16.795170660833346
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,MAHARASHTRA,3876001,1980658,1895343,2825845,1559760,1266085,1704054,1125204,578850,1508563,195491,2171947,3379906,286558,15573,1570,29766,154882,340318,770005,22269,1179314,335413,49081,507573,595768,612194,701593,957.0,72.90619894060914,11.949804844321942
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,MAHARASHTRA,2454196,1273140,1181056,1650672,932432,718240,1046857,670018,376839,964177,82680,1407339,2006984,367664,2387,935,66535,6387,96018,381722,6217,585632,153256,13150,190739,302745,178478,276749,928.0,67.25917571375717,12.42539020651754
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,MAHARASHTRA,4653570,2384975,2268595,3673808,1959220,1714588,1868560,1334211,534349,1654778,213782,2785010,3492202,390974,34667,20469,668050,24528,599780,917626,57964,1308366,493236,71592,728714,719955,753520,760675,951.0,78.94601349071789,6.56915992783742
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,MAHARASHTRA,3361292,1730075,1631217,2189425,1255222,934203,1493953,925232,568721,1317791,176162,1867339,2501741,471951,3902,13540,354189,5049,116284,488748,7548,821682,156225,12341,216364,384823,217163,308749,943.0,65.13641183211693,15.28273161107413
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,MAHARASHTRA,1648295,833170,815125,906509,512099,394410,792065,442898,349167,664193,127872,856230,1521618,96182,8467,685,4969,6191,54335,186202,2579,405012,58461,6135,83144,101758,91574,181543,978.0,54.99676938897466,13.077483132714557
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,MAHARASHTRA,6107187,3157186,2950001,4345366,2397538,1947828,2763328,1746286,1017042,2523023,240305,3343859,5237009,693052,23946,8912,94783,38212,536781,904710,45039,1668932,373100,79590,630639,798663,551864,745698,934.0,71.15167752354725,9.911034513283168
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,MAHARASHTRA,1657576,861535,796041,1137810,644304,493506,773916,473795,300121,701894,72022,883660,1437623,178925,942,340,28216,4530,49180,240042,3209,444990,96847,7974,117741,200323,96586,197371,924.0,68.64300641418554,12.79053819832827
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,MAHARASHTRA,1836086,942870,893216,1157814,666291,491523,822797,501422,321375,756417,66380,1013289,1328385,306364,2081,1371,187899,6238,59272,272486,3982,427239,81333,6973,135933,224888,103819,148444,947.0,63.058810970727954,15.637804680085344
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,MAHARASHTRA,9429408,4924105,4505303,7171723,3940210,3231513,4048993,2809816,1239177,3751221,297772,5380415,8090254,673704,134192,27090,340404,127786,1410448,1925019,235018,3222457,1086650,273326,1555272,1792197,1531966,1674141,915.0,76.05698045943076,8.291931583915957
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,CHHATTISGARH,1493984,750278,743706,951639,542756,408883,690167,429211,260956,484875,205292,803817,1422986,17332,47653,2117,781,409,27771,297308,3342,420916,66358,5979,98784,96724,69909,71114,991.0,63.6980717330306,17.361534305813286
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,MAHARASHTRA,2634200,1344345,1289855,1939994,1059692,880302,1072969,753843,319126,858825,214144,1561231,2239370,227465,17452,7477,121791,12260,328277,547206,38570,959028,204507,43536,374021,453122,369857,440717,959.0,73.64642016551515,10.577760207803422
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,MAHARASHTRA,1615069,761121,853948,1199392,619012,580380,714076,407008,307068,554973,159103,900993,1307211,187197,1990,230,113467,3347,100860,367352,7752,639362,65700,15191,163470,258015,273162,237852,1122.0,74.26258568519364,13.364661415783585
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,MAHARASHTRA,2822143,1435728,1386415,2049467,1121550,927917,1215104,800214,414890,1074948,140156,1607039,2440312,239607,9098,1260,38210,87453,227034,485126,13212,853673,214003,29515,310230,415009,380072,393990,966.0,72.62094798172878,11.187925894587691
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,MAHARASHTRA,3003741,1510842,1492899,2225694,1201034,1024660,1354947,844805,510142,1184407,170540,1648794,2691952,146970,4408,1182,141315,12810,271186,562653,14093,975471,243457,36046,374085,463058,455235,470030,988.0,74.09740054152472,10.858760646582756
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,MAHARASHTRA,849651,417332,432319,666067,348289,317778,347178,229676,117502,226538,120640,502473,780384,26264,15471,219,24762,1046,42540,194228,3517,340836,48418,9264,98475,131855,155696,62947,1036.0,78.39301077736623,9.950653407073084
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,MAHARASHTRA,4317756,2227852,2089904,2910676,1651266,1259410,1898395,1206933,691462,1763175,135220,2419361,3795424,441254,9882,1279,35497,28134,248255,595560,15145,1156231,236302,28219,376000,576726,355107,489698,938.0,67.41177593175715,13.857576755287315
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,MAHARASHTRA,11060148,5865078,5195070,8227161,4591396,3635765,4492767,3363123,1129644,3930511,562256,6567381,8716055,1355630,280700,39149,449617,172052,1610460,2231800,256170,3618151,961719,172210,1741244,2011713,1627847,1964564,886.0,74.38563209099914,8.298721900256956
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,MAHARASHTRA,1300774,668385,632389,1019458,552617,466841,608235,392316,215919,529623,78612,692539,1057096,53854,2696,2147,175417,5663,114029,266155,4313,388704,93772,6970,170620,166398,171680,192075,946.0,78.37318396585418,8.857634689026838
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,MAHARASHTRA,1197160,620302,576858,869917,487703,382214,569792,340353,229439,502755,67037,627368,859949,142672,1707,518,179330,8476,36840,196022,1875,330846,47865,3623,97022,125662,87120,106117,930.0,72.66505730228207,12.365576393699818
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,MAHARASHTRA,2772348,1419965,1352383,2022574,1115980,906594,1355999,815475,540524,1195100,160899,1416349,2251401,239236,4567,1596,249874,11422,134500,446516,6094,798132,123074,12132,245261,279184,198454,281437,952.0,72.9552711275785,11.555299191410883
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,MANIPUR,237399,118782,118617,156333,87313,69020,109937,62807,47130,76423,33514,127462,175102,18691,4264,56,76,16,11393,34364,676,56149,20074,2009,23140,28217,41441,19612,999.0,65.85242566312411,15.319653648054054
Manipur,Chandel,24.2635812987013,94.09443844155844,280,MANIPUR,144182,74579,69603,90302,51053,39249,76238,42615,33623,53753,22485,67944,10810,3086,129049,136,400,59,1424,18764,184,34160,8105,908,8319,12428,23065,5580,933.0,62.630564148090606,12.065116206153558
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,MANIPUR,274143,138820,135323,195935,104013,91922,122655,70594,52061,89779,32876,151488,12034,2886,254979,152,495,87,13371,29894,837,57825,14523,1807,17498,24266,41638,16414,975.0,71.4718230996232,6.9986768481764
Manipur,Senapati,25.08465586034914,94.03366234413956,272,MANIPUR,479148,247323,231825,264477,148012,116465,233622,124143,109479,185725,47897,245526,43833,1649,426819,140,2409,53,2430,22798,256,39834,24940,827,9623,13568,29985,18477,937.0,55.19735029677678,9.607300649898098
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,MANIPUR,140651,72371,68280,85006,47403,37603,70675,37237,33438,55979,14696,69976,2995,589,134760,59,425,57,1229,11541,125,28101,7102,495,5233,6037,17284,9250,943.0,60.43753688206981,10.428229763680196
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,MANIPUR,422168,210845,211323,269304,152617,116687,195319,109377,85942,133428,61891,226849,267146,107323,4322,106,114,24,15994,49507,880,104263,28550,3141,34893,48254,78949,13391,1002.0,63.79071838699285,17.166135797507664
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,MANIPUR,183998,94718,89280,129829,70148,59681,87929,46533,41396,67724,20205,96069,7553,1115,174112,108,635,70,1659,14026,276,41890,15636,1107,7360,12142,29549,18080,943.0,70.56000608702269,7.2128425826719305
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,MEGHALAYA,317917,161223,156694,192147,102513,89634,126073,72262,53811,83936,42137,191844,17272,3359,289708,56,1004,38,1839,24550,288,74216,2484,1167,15115,15314,46851,10343,972.0,60.439359958731366,6.381388857513814
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,MEGHALAYA,825922,410749,415173,578030,287270,290760,326786,204303,122483,289576,37210,499136,144935,14185,543394,2495,3111,303,41496,135941,5032,215091,61639,15048,79933,93619,111335,112619,1011.0,69.98602773627533,-0.09536722171732404
